Title, artists_name, cost, approximate_estimate, material, size, country, period, style, genre
"Portrait de Maurice de Savoie (1762-1799), duc de Montferrat, en buste ; Portrait de Marie-Félicitée de Savoie (1730-1801), en buste ; Portrait de Joseph Benoît de Savoie (1766-1802), comte de Maurienne, en buste ; Portrait de Marie-Anne de Savoie (1757-1824), duchesse de Chablais, en buste ; Portrait de Victor-Emmanuel de Savoie (1759-1824), duc d'Aoste, en buste ; Portrait de Marie-Adélaïde de France (1759-1802), princesse de Piémont, en buste ; Portrait de Charles-Félix de Savoie (1675-1821), duc de Genevois, en buste ; Portrait de la princesse Marie-Thérèse Jeanne d'Autriche-Este (1773-1832), duchesse d'Aoste, en buste",GIOVANNI PANEALBO,"EUR 12,600","EUR 20,000 - 30,000",N/A,"40 x 30,5 cm",Italy,1742-1815,Realism,Portrait
"La visite à Venise de Victor-Emmanuel II (1820-1878), roi d'Italie",ATTRIBUÉ À GIUSEPPE GAVAGNIN,"EUR 13,860","EUR 15,000 - 20,000",N/A,"52,5 x 79,5 cm",Italy,1846-1889,Realism,Unknown
La fête donnée place Saint-Marc à l'occasion de la visite de l'empereur François-Joseph Ier (1830-1916) à Venise en 1856,GIOVANNI GRUBACS,"EUR 75,600","EUR 8,000 - 12,000",N/A,"86 x 111,3 cm",Italy,1829-1919,Realism,Unknown
Cactus Selenicereus grandiflorus et speciosissimus du jardin botanique d'Oxford,JOHN BRIDGES,"EUR 47,880","EUR 8,000 - 12,000",N/A,"63,5 x 76,3 cm",United Kingdom,1818-1854,Realism,Still Life
Le roi Umberto Ier d'Italie (1844-1900) à cheval à Bordighera,FILIPPO PALIZZI,"EUR 27,720","EUR 4,000 - 6,000",N/A,92 x 132 cm,Italy,1818-1899,Realism,Unknown
"Portrait d'Umberto de Savoie (1904-1983), prince de Piémont et futur roi d'Italie, à mi-corps",PHILIP DE LÁSZLÓ,"EUR 69,300","EUR 10,000 - 15,000",N/A,99 x 74 cm,Hungary,1869-1937,Realism,Portrait
Portrait d'Alexandre Félix Legentil (1821-1889),JEAN-HIPPOLYTE FLANDRIN,"EUR 69,300","EUR 30,000 - 50,000",N/A,107 x 88 cm,France,1809-1864,Realism,Portrait
Portrait de Marie Legentil née Marcotte d'Argenteuil (1828-1920),JEAN-HIPPOLYTE FLANDRIN,"EUR 69,300","EUR 30,000 - 50,000",N/A,106 x 86 cm,France,1809-1864,Realism,Portrait
"Portrait d'un homme noir, en buste",ÉCOLE FRANÇAISE VERS 1840,"EUR 25,200","EUR 8,000 - 12,000",N/A,"40,5 x 32,5 cm",Unknown,N/A,Realism,Portrait
La Parisienne,PIERRE ARISTIDE ANDRÉ BROUILLET,"EUR 35,280","EUR 20,000 - 30,000",N/A,"116,3 x 89,5 cm",France,1857-1914,Realism,Portrait
Étude pour Au Bois - Au Pré Catelan,HENRY BOUVET,,"EUR 8,000 - 12,000",N/A,"130,5 x 97,5 cm",France,1859-1945,Realism,Unknown
Une tête de lion,ROSA BONHEUR,"EUR 107,100","EUR 18,000 - 25,000",N/A,46 x 38 cm,France,1822-1899,Realism,Animal Art
Gyzeh ; environs du Caire (Égypte),CHARLES-THÉODORE FRÈRE,"EUR 88,200","EUR 25,000 - 35,000",N/A,"70,2 x 110,5 cm",France,1814-1888,Realism,Landscape
Bateaux dans le port de Rotterdam,JOHAN BARTHOLD JONGKIND,"EUR 56,700","EUR 20,000 - 25,000",N/A,42 x 56 cm,Netherlands,1819-1891,Realism,Unknown
"The Tree Within, A Palestinian Olive Tree",TAGREED DARGHOUTH,"GBP 44,100","GBP 10,000 - 15,000",acrylic,199.5 x 149.5cm,Lebanon,"B. 1979, SIDON",Contemporary,Figurative
Suspended Together,MANAL AL DOWAYAN,"GBP 27,720","GBP 20,000 - 30,000",printed porcelain,29 x 13.5cm,Saudi Arabia,"B. 1973, DHAHRAN",Contemporary,Conceptual
Fan Power,TALA MADANI,"GBP 21,420","GBP 8,000 - 12,000",N/A,17 x 20in,Iran,"B. 1981, TEHRAN",Contemporary,Figurative
"Material for a film (detail), Wael with book",EMILY JACIR,"GBP 9,450","GBP 4,000 - 6,000",N/A,86.5 x 87.5cm,Palestine,"B. 1970, BETHLEHEM",Conceptual Art,Photography
Mahmoud Darwish,ABDULNASSER GHAREM,"GBP 15,120","GBP 10,000 - 15,000",N/A,83.5 x 113cm,Saudi Arabia,"B. 1973, KHAMIS MUSHAIT",Contemporary,Conceptual
Beirut,MAHMOUD OBAIDI,"GBP 20,160","GBP 8,000 - 12,000",N/A,200 x 200cm,Iraq,"B. 1966, BAGHDAD",Contemporary,Conceptual
3 Bends,HAYV KAHRAMAN,,"GBP 40,000 - 60,000",acrylic,50 x 62in,Iraq,"B.1981, BAGHDAD",Contemporary,Figurative
Untitled,JULIANA SERAPHIM,"GBP 35,280","GBP 15,000 - 20,000",oil on canvas,96 x 85cm,Lebanon,"1934, JAFFA - 2005, BEIRUT",Surrealism,Figurative
Le Repos du Coulis (Resting on Coulis),MARC GUIRAGOSSIAN,"GBP 6,930","GBP 5,000 - 7,000",oil on canvas,150.1 x 120cm,Lebanon,"B. 1995, BEIRUT",Modernism,Figurative
Untitled,FAHRELNISSA ZEID,"GBP 35,280","GBP 15,000 - 25,000",oil on canvas,35.3 x 24.3cm,Turkey,"1901, BÜYÜKADA - 1991, AMMAN",Modernism,Abstract
Untitled,HELEN KHAL,"GBP 16,380","GBP 12,000 - 18,000",N/A,43 x 55.7cm,Lebanon,"1923, ALLENTOWN - 2009, AJALTOUN",Modernism,Abstract
Untitled,LAILA SHAWA,"GBP 21,420","GBP 15,000 - 20,000",acrylic,50 x 70cm,Palestine,"1940, GAZA - 2022, LONDON",Contemporary,Political Art
Untitled,JUMANA EL HUSSEINI,"GBP 44,100","GBP 18,000 - 25,000",oil on canvas,70 x 110cm,Palestine,"1932, JERUSALEM - 2018, PARIS",Modernism,Abstract
Radiance #1,TIMO NASSERI,"GBP 22,680","GBP 25,000 - 30,000",N/A,67.6 x 18cm,Iran,"B. 1972, BERLIN",Contemporary,Geometric
Small Terracotta Jar,FARHAD MOSHIRI,"GBP 60,480","GBP 50,000 - 70,000",acrylic,140.2 x 115.2cm,Iran,"1963, SHIRAZ - 2024, TEHRAN",Pop Art,Mixed Media
Untitled,MASSOUD ARABSHAHI,"GBP 56,700","GBP 20,000 - 30,000",oil on canvas,127.7 x 121cm,Iran,"1935, TEHRAN - 2019, TEHRAN",Modernism,Abstract
Miroir de l'indicible (Mirror of the unspeakable),ABD AL-HADI EL-GAZZAR,"GBP 50,400","GBP 40,000 - 60,000",N/A,56.7 x 76.6cm,Egypt,"1925, ALEXANDRIA - 1966, CAIRO",Social Realism,Figurative
Sketch for Untitled (Mother of the National Hero),MAHMOUD SABRI,"GBP 27,720","GBP 25,000 - 30,000",N/A,59.9 x 84.3cm,Iraq,"1927, BAGHDAD - 2012, MAIDENHEAD",Modernism,Figurative
Kingdom of Delusion II,DIA AL-AZZAWI,"GBP 30,240","GBP 25,000 - 35,000",oil on canvas,22 x 26in,Iraq,"B. 1939, BAGHDAD",Contemporary,Abstract
Untitled,MOHAMMED GHANI HIKMAT,,"GBP 7,000 - 10,000",N/A,6 x 4in,Iraq,"1929, BAGHDAD - 2011, AMMAN",Modernism,Sculpture
Portrait of a Girl,SHAKER HASSAN AL SAID,,"GBP 12,000 - 18,000",N/A,55.6 x 40.6cm,Iraq,"1925, SAMAWAH - 2004, BAGHDAD",Modernism,Abstract
Facial Landscape,MARWAN,"GBP 22,680","GBP 10,000 - 15,000",N/A,58.5 x 46.2cm,Syria,"1934, DAMASCUS - 2016, BERLIN",Expressionism,Figurative
Les Danseuses (The Dancers),PAUL GUIRAGOSSIAN,"GBP 60,480","GBP 25,000 - 35,000",oil on canvas,73.2 x 54.3cm,Lebanon,"1926, JERUSALEM - 1993, BEIRUT",Expressionism,Figurative
City By Night,ABDUL HALIM RADWI,"GBP 126,000","GBP 20,000 - 30,000",acrylic,121 x 75cm,Saudi Arabia,"1939, MECCA - 2006, JEDDAH",Contemporary,Conceptual
Untitled,HAFIDH AL-DROUBI,"GBP 10,080","GBP 8,000 - 12,000",N/A,75.6 x 55.5cm,Iraq,"1914, BAGHDAD - 1991, BAGHDAD",Modernism,Figurative
Jerusalem,JAMIL MOLAEB,"GBP 8,190","GBP 5,000 - 7,000",oil on canvas,27 x 20in,Lebanon,"B. 1948, BAISSOUR",Modernism,Abstract
Jerusalem,NABIL ANANI,"GBP 32,760","GBP 15,000 - 20,000",acrylic,111 x 102.8cm,Palestine,"B. 1943, LATROUN",Contemporary,Figurative
Rêverie au clair de lune (Moonlight Dreams),SUAD AL-ATTAR,"GBP 9,450","GBP 6,000 - 8,000",N/A,75 x 75cm,Iraq,"B. 1942, BAGHDAD",Surrealism,Figurative
Untitled,ETEL ADNAN,,"GBP 6,000 - 8,000",N/A,29 x 21cm,Lebanon,"1925, BEIRUT – 2021, PARIS",Contemporary,Abstract
There is Always a Mystery,MARWAN SAHMARANI,"GBP 10,080","GBP 7,000 - 10,000",N/A,144.5 x 75.5cm,Lebanon,"B. 1970, BEIRUT",Contemporary,Figurative
In the Forest of Love,HIMAT MOHAMMED ALI,"GBP 6,300","GBP 5,000 - 7,000",acrylic,38 x 26.8cm,Iraq,"1960, KIRKUK",Contemporary,Abstract
Untitled,FAHRELNISSA ZEID,"GBP 17,640","GBP 10,000 - 15,000",N/A,50.5 x 41.8cm,Turkey,"1901, BÜYÜKADA - 1991, AMMAN",Modernism,Abstract
Untitled,MONIR SHAHROUDY FARMANFARMAIAN,"GBP 11,970","GBP 7,000 - 10,000",N/A,28.5 x 29cm,Iran,"1922, QAZVIN - 2019, TEHRAN",Modernism,Geometric
Untitled,NEZIHA SELIM,,"GBP 5,000 - 7,000",N/A,12.5 x 19.5cm,Iraq,"1927, ISTANBUL - 2008, BAGHDAD",Modernism,Figurative
Untitled,ALFRED BASBOUS,,"GBP 10,000 - 15,000",N/A,18.5 x 16.5cm,Lebanon,"1924, RACHANA - 2006, RACHANA",Modernism,Sculpture
Untitled (Allah),HUSSEIN MADI,"GBP 15,120","GBP 15,000 - 25,000",acrylic,80.1 x 80cm,Lebanon,"1938, CHEBAA - 2024, BEIRUT",Modernism,Sculpture
Untitled,HUSSEIN MADI,"GBP 13,860","GBP 4,000 - 6,000",N/A,42 x 10cm,Lebanon,"1938, CHEBAA - 2024, BEIRUT",Modernism,Sculpture
Untitled,ADAM HENEIN,"GBP 20,160","GBP 10,000 - 15,000",N/A,60.3 x 67cm,Egypt,"1929, CAIRO - 2020, CAIRO",Modernism,Sculpture
Hibou (Owl),ADAM HENEIN,"GBP 20,160","GBP 10,000 - 15,000",N/A,19.5 x 18cm,Egypt,"1929, CAIRO - 2020, CAIRO",Modernism,Sculpture
Nu sur le canapé; Nu devant la ville (Nude on the sofa; Nude in front of the city),GEORGES HANNA SABBAGH,"GBP 7,560","GBP 4,000 - 6,000",N/A,24 x 32.5cm,Lebanon,"1887, ALEXANDRIA - 1951, PARIS",Modernism,Figurative
Untitled,ADHAM WANLY,"GBP 13,860","GBP 10,000 - 15,000",N/A,49 x 69.5cm,Egypt,"1908, ALEXANDRIA - 1959, ALEXANDRIA",Impressionism,Figurative
Joueur de Flûte (Flute Player),ABDELAZIZ GORGI,"GBP 6,300","GBP 5,000 - 7,000",N/A,74.7 x 54.9cm,Tunisia,"1928, TUNIS - 2008, TUNIS",Modernism,Abstract
Herring Gulls,BRYAN WYNTER,"GBP 11,340","GBP 3,000 - 5,000",gouache,29.2 x 52.1 cm,United Kingdom,1915-1975,Abstract Expressionism,Abstract
"Gurnard's Head, Winter",WILHELMINA BARNS-GRAHAM,"GBP 17,640","GBP 4,000 - 6,000",gouache,24.7 x 44.4 cm,United Kingdom,1912-2004,Abstract Art,Abstract
St Ives,CHRISTOPHER WOOD,"GBP 88,200","GBP 5,000 - 8,000",gouache,34.3 x 48.8 cm,United Kingdom,1901-1930,Modernism,Landscape
"Boats in a Harbour, St Ives",SVEN BERLIN,"GBP 7,560","GBP 3,000 - 5,000",N/A,8 x 13 in,United Kingdom,1911-1999,Modernism,Sculpture
St Ives,WILHELMINA BARNS-GRAHAM,"GBP 16,380","GBP 3,000 - 5,000",gouache,39.4 x 57.8 cm,United Kingdom,1912-2004,Abstract Art,Abstract
"Boats, Cliff and Lighthouse",ALFRED WALLIS,"GBP 88,200","GBP 40,000 - 60,000",N/A,42.5 x 48.9 cm,United Kingdom,1855-1942,Naïve Art,Marine
"Composition 1963, No. 16",JOHN WELLS,"GBP 18,900","GBP 15,000 - 25,000",N/A,35 x 49 in,United Kingdom,1907-2000,Modernism,Abstract
Untitled,PETER LANYON,"GBP 9,450","GBP 3,000 - 5,000",gouache,29.2 x 18.4 cm,United Kingdom,1918-1964,Abstract Expressionism,Landscape
"Untitled 1967 (Red, White and Black)",ROGER HILTON,"GBP 7,560","GBP 6,000 - 8,000",N/A,12 x 10 in,United Kingdom,1911-1975,Abstract Expressionism,Abstract
"Project, 1967",JOHN WELLS,"GBP 17,640","GBP 7,000 - 10,000",N/A,20 x 30 in,United Kingdom,1907-2000,Modernism,Abstract
Boats at sea,ROGER HILTON,"GBP 11,340","GBP 4,000 - 6,000",gouache,37.2 x 55.2 cm,United Kingdom,1911-1975,Abstract Expressionism,Abstract
Drifter,ALAN LOWNDES,"GBP 30,240","GBP 10,000 - 15,000",N/A,45 x 55.8 cm,United Kingdom,1921-1978,Naïve Art,Landscape
"Painting, 1967",JOHN WELLS,"GBP 8,820","GBP 10,000 - 15,000",N/A,17.5 x 75.3 cm,United Kingdom,1907-2000,Modernism,Abstract
"Painting, 1960",JOHN WELLS,"GBP 8,568","GBP 6,000 - 8,000",N/A,12 x 14 in,United Kingdom,1907-2000,Modernism,Abstract
Waste,"JOHN TUNNARD, A.R.A.","GBP 8,820","GBP 3,000 - 5,000",gouache,15 x 22 in,United Kingdom,1900-1971,Surrealism,Abstract
Nude,CHRISTOPHER WOOD,"GBP 15,120","GBP 15,000 - 25,000",N/A,33.7 x 41 cm,United Kingdom,1901-1930,Modernism,Landscape
"Composition, 1935",STANLEY WILLIAM HAYTER,"GBP 21,420","GBP 8,000 - 12,000",N/A,18 x 15 in,United Kingdom,1901-1988,Surrealism,Abstract
Black Crab,"BERNARD MEADOWS, R.A.","GBP 75,600","GBP 50,000 - 80,000",bronze,N/A,United Kingdom,1915-2005,Modernism,Sculpture
Trompe l'Oeil à Clef,PETER ROSE PULHAM,"GBP 13,860","GBP 6,000 - 8,000",oil on canvas,74.9 x 120.6 cm,United Kingdom,1910-1956,Modernism,Abstract
The Bird,SIR CEDRIC MORRIS,"GBP 44,100","GBP 40,000 - 60,000",N/A,54.6 x 45.7 cm,United Kingdom,1889-1982,Modernism,Still Life
Still Life with Avocado Pears,ROBERT MACBRYDE,"GBP 47,880","GBP 25,000 - 35,000",oil on canvas,30 x 40 in,United Kingdom,1913-1966,Cubism,Still Life
Maquette for Reclining Interior Oval,"HENRY MOORE, O.M., C.H.","GBP 40,320","GBP 12,000 - 18,000",bronze,N/A,United Kingdom,1898-1986,Modernism,Sculpture
"Caves of Green, No. 4",IVON HITCHENS,"GBP 119,700","GBP 70,000 - 100,000",oil on canvas,17 x 56 in,United Kingdom,1893-1979,Abstract Art,Landscape
Leaf Figure No. 1,"HENRY MOORE, O.M., C.H.","GBP 20,160","GBP 12,000 - 18,000",bronze,N/A,United Kingdom,1898-1986,Modernism,Sculpture
Rural Green I,PRUNELLA CLOUGH,"GBP 11,340","GBP 5,000 - 8,000",oil on canvas,60.3 x 73.7 cm,United Kingdom,1919-1999,Modernism,Urban
Footed Bowl,DAME LUCIE RIE,,"GBP 15,000 - 25,000",N/A,N/A,Austria,1902-1995,Modernism,Ceramics
Two Seeds,"SIR ANTONY GORMLEY, R.A.",,"GBP 30,000 - 50,000",N/A,N/A,United Kingdom,B. 1950,Contemporary Art,Sculpture
Bottles,"SIR FRANK BOWLING, R.A.","GBP 13,860","GBP 10,000 - 15,000",oil on canvas,36 x 22.8 cm,Guyana,B. 1934,Abstract Expressionism,Abstract
Guardia Civil,"SIR PETER BLAKE, R.A.","GBP 50,400","GBP 40,000 - 60,000",N/A,28.5 x 21 cm,United Kingdom,B. 1932,Pop Art,Portraiture
Untitled (Head of a Girl),PAULINE BOTY,"GBP 37,800","GBP 30,000 - 50,000",gouache,50.2 x 40.7 cm,United Kingdom,1938-1966,Pop Art,Portraiture
Untitled (Christmas collage '64),PAULINE BOTY,"GBP 23,940","GBP 10,000 - 15,000",collage,44.5 x 32.1 cm,United Kingdom,1938-1966,Pop Art,Portraiture
Insert for Sgt. Pepper's Lonely Hearts Club Band,"SIR PETER BLAKE, R.A. AND JANN HAWORTH","GBP 113,400","GBP 70,000 - 100,000",collage,30.1 x 30.1 cm,Unknown,B. 1932,Pop Art,Figurative
"Time Magazine collage; Medicine is for People, Not for Profits","SIR EDUARDO PAOLOZZI, R.A.","GBP 4,410","GBP 4,000 - 6,000",collage,19.7 x 21 cm,United Kingdom,1924-2005,Pop Art,Sculpture
3 Cokes Study,CLIVE BARKER,,"GBP 20,000 - 30,000",N/A,N/A,United Kingdom,B. 1940,Pop Art,Sculpture
Theatre Design for Irma's Room in 'The Balcony' by Jean Genet,PAULINE BOTY,"GBP 27,720","GBP 20,000 - 30,000",gouache,31.8 x 45.8 cm,United Kingdom,1938-1966,Pop Art,Portraiture
FOUR,ANTONY DONALDSON,"GBP 18,270","GBP 8,000 - 12,000",N/A,39.5 x 39.5 cm,United Kingdom,B. 1939,Pop Art,Figurative
Head of David Landau,FRANK AUERBACH,,"GBP 80,000 - 120,000",N/A,92.4 x 75.3 cm,Germany,B. 1931,Expressionism,Portraiture
View of Hackney with German Hospital,LEON KOSSOFF,"GBP 119,700","GBP 60,000 - 80,000",gouache,31 x 42 in,United Kingdom,1926-2019,Expressionism,Portraiture
Giallo di Siena head,EMILY YOUNG,"GBP 75,600","GBP 25,000 - 35,000",N/A,N/A,United Kingdom,B. 1951,Modernism,Sculpture
Self-Portrait,CELIA PAUL,"GBP 94,500","GBP 30,000 - 50,000",oil on canvas,107 x 102.4 cm,United Kingdom,B. 1959,Contemporary Realism,Portraiture
Fidelma Asleep,LEON KOSSOFF,,"GBP 120,000 - 180,000",N/A,8 x 25 in,United Kingdom,1926-2019,Expressionism,Portraiture
Maquette II Two Winged Figures,"LYNN CHADWICK, R.A.","GBP 40,320","GBP 25,000 - 35,000",bronze,N/A,United Kingdom,1914-2003,Modernism,Sculpture
Building Site near St Paul's,LEON KOSSOFF,"GBP 100,800","GBP 70,000 - 100,000",N/A,87.5 x 102.2 cm,United Kingdom,1926-2019,Expressionism,Portraiture
"Rock Façade, Petra, Afternoon",DAVID BOMBERG,"GBP 163,800","GBP 60,000 - 80,000",oil on canvas,17 x 21 in,United Kingdom,1890-1957,Vorticism,Abstract
Mytilini,"WILLIAM BROOKER, A.R.A.","GBP 17,640","GBP 5,000 - 8,000",oil on canvas,33 x 36 in,United Kingdom,1918-1983,Modernism,Still Life
Acropolis,"WILLIAM BROOKER, A.R.A.","GBP 12,600","GBP 4,000 - 6,000",oil on canvas,30 x 36 in,United Kingdom,1918-1983,Modernism,Still Life
Rail Embankment - Summer,CHRISTOPHER BRAMHAM,"GBP 20,160","GBP 5,000 - 8,000",oil on canvas,39 x 50 in,United Kingdom,B. 1952,Modernism,Landscape
Figure study III,STEPHEN CONROY,,"GBP 10,000 - 15,000",oil on canvas,183 x 137 cm,United Kingdom,B. 1964,Contemporary Art,Portraiture
Computer Head,"SIR EDUARDO PAOLOZZI, R.A.","GBP 16,380","GBP 8,000 - 12,000",bronze,N/A,United Kingdom,1924-2005,Pop Art,Sculpture
Show,"SIR ANTONY GORMLEY, R.A.",,"GBP 50,000 - 80,000",N/A,237.1 x 134 cm,United Kingdom,B. 1950,Contemporary Art,Sculpture
Ethel,"CRAIGIE AITCHISON, R.A.","GBP 21,420","GBP 4,000 - 6,000",oil on canvas,15.2 x 12.1 cm,United Kingdom,1926-2009,Contemporary Realism,Portraiture
Montecastelli Tree,"CRAIGIE AITCHISON, R.A.","GBP 15,120","GBP 15,000 - 25,000",oil on canvas,34.9 x 30 cm,United Kingdom,1926-2009,Contemporary Realism,Portraiture
The Beatnik,"LAURENCE STEPHEN LOWRY, R.A.",,"GBP 60,000 - 80,000",N/A,10 x 8 in,United Kingdom,1887-1976,Naïve Art,Urban
Woman with Big Hands,"LAURENCE STEPHEN LOWRY, R.A.","GBP 63,000","GBP 50,000 - 70,000",oil on canvas,10 x 8 in,United Kingdom,1887-1976,Naïve Art,Urban
"The Contraviesa, Alpujarra","AUGUSTUS JOHN, O.M., R.A.","GBP 15,120","GBP 8,000 - 12,000",N/A,32.4 x 45.7 cm,United Kingdom,1878-1961,Post-Impressionism,Landscape
Still life with flowers in a jug,"ANNE REDPATH, A.R.A.","GBP 63,000","GBP 60,000 - 80,000",N/A,54.6 x 61 cm,United Kingdom,1895-1965,Expressionism,Still Life
Heavy and Light,WINIFRED NICHOLSON,"GBP 20,160","GBP 18,000 - 25,000",oil on canvas,42.5 x 32.4 cm,United Kingdom,1893-1981,Post-Impressionism,Still Life
South Downs Landscape,IVON HITCHENS,"GBP 17,640","GBP 3,000 - 5,000",N/A,42.5 x 24.8 cm,United Kingdom,1893-1979,Abstract Art,Landscape
Maquette for Unity,"LYNN CHADWICK, R.A.","GBP 35,280","GBP 15,000 - 25,000",bronze,N/A,United Kingdom,1914-2003,Modernism,Sculpture
"The Quay, St Tropez",ROGER FRY,"GBP 107,100","GBP 8,000 - 12,000",N/A,62.3 x 47 cm,United Kingdom,1866-1934,Post-Impressionism,Portraiture
Tramp approaching the Clyde,"LAURENCE STEPHEN LOWRY, R.A.",,"GBP 120,000 - 180,000",oil on canvas,12 x 18 in,United Kingdom,1887-1976,Naïve Art,Urban
"Man, Cat & Boat",ALAN LOWNDES,"GBP 18,900","GBP 15,000 - 25,000",oil on canvas,63 x 76.2 cm,United Kingdom,1921-1978,Naïve Art,Landscape
The Underground,"WILLIAM ROBERTS, R.A.","GBP 32,760","GBP 15,000 - 20,000",N/A,15 x 12 in,United Kingdom,1895-1980,Vorticism,Figurative
Penelope (Mrs K.P. Herron),"EDWARD WADSWORTH, A.R.A.","GBP 7,560","GBP 7,000 - 10,000",N/A,33.3 x 24 cm,United Kingdom,1889-1949,Vorticism,Abstract
The Flower Gatherers,DUNCAN GRANT,"GBP 25,200","GBP 8,000 - 12,000",oil on canvas,78 x 110.5 cm,United Kingdom,1885-1978,Post-Impressionism,Portraiture
Eleven Shallots,ELIOT HODGKIN,"GBP 12,600","GBP 12,000 - 18,000",N/A,8.9 x 31.1 cm,United Kingdom,1905-1987,Realism,Still Life
Ida in a Shawl,"AUGUSTUS JOHN, O.M., R.A.","GBP 44,100","GBP 12,000 - 18,000",N/A,14 x 10 in,United Kingdom,1878-1961,Post-Impressionism,Landscape
Girl arranging her hair in front of a mirror,RODERIC O'CONOR,"GBP 27,720","GBP 25,000 - 35,000",N/A,45.7 x 36.8 cm,Ireland,1860-1940,Post-Impressionism,Landscape
Dorelia standing,"AUGUSTUS JOHN, O.M., C.H.",,"GBP 40,000 - 70,000",N/A,44.2 x 23.5 cm,United Kingdom,1878-1961,Post-Impressionism,Portraiture
"Portrait of Elizabeth Lipczinski with Her Dog, Fanny",DERWENT LEES,"GBP 3,780","GBP 4,000 - 6,000",N/A,46.3 x 30.2 cm,United Kingdom,1884-1931,Post-Impressionism,Landscape
"Dorelia standing, with green head scarf","AUGUSTUS JOHN, O.M., R.A.","GBP 37,800","GBP 35,000 - 55,000",N/A,53.6 x 28.9 cm,United Kingdom,1878-1961,Post-Impressionism,Landscape
High Class Butchers,"CHARLES GINNER, A.R.A.","GBP 30,240","GBP 3,000 - 5,000",N/A,25.2 x 34 cm,United Kingdom,1878-1952,Post-Impressionism,Landscape
Still Life with Fruit,MARK GERTLER,"GBP 18,900","GBP 7,000 - 10,000",oil on canvas,11 x 15 in,United Kingdom,1891-1939,Post-Impressionism,Portraiture
"Provençal Landscape, Cagnes",SIR MATTHEW SMITH,"GBP 35,280","GBP 12,000 - 18,000",oil on canvas,13 x 16 in,United Kingdom,1879-1959,Fauvism,Still Life
Seated Figure on Square Steps,"HENRY MOORE, O.M., C.H.","GBP 176,400","GBP 80,000 - 120,000",bronze,N/A,United Kingdom,1898-1986,Modernism,Sculpture
Study for Group,DAME BARBARA HEPWORTH,,"GBP 60,000 - 80,000",N/A,42.8 x 28.3 cm,United Kingdom,1903-1975,Modernism,Sculpture
Snow on Porthmeor 1947,WILHELMINA BARNS-GRAHAM,,"GBP 20,000 - 30,000",N/A,15 x 18 in,United Kingdom,1912-2004,Abstract Art,Abstract
Godrevy Lighthouse,PETER LANYON,"GBP 50,400","GBP 45,000 - 65,000",N/A,52.1 x 26.6 cm,United Kingdom,1918-1964,Abstract Expressionism,Landscape
Winged Figures,"LYNN CHADWICK, R.A.","GBP 117,180","GBP 60,000 - 80,000",bronze,N/A,United Kingdom,1914-2003,Modernism,Sculpture
"Composition, 1960","SANDRA BLOW, R.A.","GBP 22,680","GBP 18,000 - 25,000",N/A,127 x 102.9 cm,United Kingdom,1925-2006,Abstract Expressionism,Abstract
1978 (still life with blue + stripes),"BEN NICHOLSON, O.M.","GBP 12,600","GBP 10,000 - 15,000",gouache,34.6 x 29.3 cm,United Kingdom,1894-1982,Modernism,Abstract
Dec 1963 (Helmos),"BEN NICHOLSON, O.M.",,"GBP 60,000 - 80,000",N/A,78 x 78 cm,United Kingdom,1894-1982,Modernism,Abstract
Pupitre,KEITH VAUGHAN,"GBP 23,940","GBP 12,000 - 18,000",gouache,6 x 8 in,United Kingdom,1912-1977,Neo-Romanticism,Figurative
Two Piece Reclining Figure: Maquette No. 8,"HENRY MOORE, O.M., C.H.","GBP 27,720","GBP 25,000 - 35,000",bronze,N/A,United Kingdom,1898-1986,Modernism,Sculpture
Wee Boy with a Green Cardigan,"JOAN EARDLEY, R.S.A.","GBP 23,940","GBP 12,000 - 18,000",N/A,28.9 x 22.6 cm,United Kingdom,1921-1963,Expressionism,Landscape
Little Girl and Comic,"JOAN EARDLEY, R.S.A.","GBP 16,380","GBP 10,000 - 15,000",N/A,17.4 x 16.7 cm,United Kingdom,1921-1963,Expressionism,Landscape
Breaking Wave,"JOAN EARDLEY, R.S.A.","GBP 25,200","GBP 25,000 - 35,000",N/A,88.3 x 122 cm,United Kingdom,1921-1963,Expressionism,Landscape
Time/Life Screen: Maquette No. 3,"HENRY MOORE, O.M., C.H.","GBP 15,120","GBP 15,000 - 20,000",bronze,N/A,United Kingdom,1898-1986,Modernism,Sculpture
"Painting, 1964",PRUNELLA CLOUGH,"GBP 11,340","GBP 4,000 - 6,000",oil on canvas,66.2 x 79.2 cm,United Kingdom,1919-1999,Modernism,Urban
Blue Form,"WILLIAM SCOTT, R.A.","GBP 75,600","GBP 40,000 - 60,000",oil on canvas,16 x 20 in,United Kingdom,1913-1989,Abstract Expressionism,Still Life
Red Candle,"SIR FRANK BOWLING, R.A.","GBP 75,600","GBP 70,000 - 100,000",N/A,105.4 x 47 cm,Guyana,B. 1934,Abstract Expressionism,Abstract
Rad Lad III,"LYNN CHADWICK, R.A.","GBP 20,160","GBP 18,000 - 25,000",bronze,N/A,United Kingdom,1914-2003,Modernism,Sculpture
3.2.67,"JOHN HOYLAND, R.A.",,"GBP 50,000 - 80,000",N/A,78 x 144 in,United Kingdom,1934-2011,Abstract Expressionism,Abstract
"Relief Painting in White, Black and Maroon","VICTOR PASMORE, R.A.","GBP 88,200","GBP 70,000 - 100,000",N/A,40 x 40 in,United Kingdom,1908-1998,Abstract Art,Abstract
