Title, artists_name, cost, approximate_estimate, material, size, country, period, style, genre
Sans titre,Dado,"EUR 103,320","EUR 30,000 - 50,000",oil on canvas,114 x 146 cm,Unknown,1933-2010,Abstract Expressionism,Abstract
Sans titre,Karel Appel,"EUR 151,200","EUR 120,000 - 180,000",oil on canvas,79.6 x 149.6 cm,Netherlands,1921-2006,Abstract Expressionism,Abstract
Ocre,Bram Bogart,"EUR 18,900","EUR 15,000 - 20,000",N/A,70.5 x 88 cm,Unknown,1921-2012,Abstract Expressionism,Abstract
Rythme d'Ocre (Ochre Rhythm),Bram Bogart,"EUR 10,080","EUR 10,000 - 15,000",N/A,40.8 x 61.3 cm,Unknown,1921-2012,Abstract Expressionism,Abstract
Pollens et Chrysalides,André Masson,"EUR 10,080","EUR 8,000 - 12,000",gouache,31.2 x 38.2 cm,Unknown,1896-1987,Abstract Expressionism,Abstract
Étreinte dans une poissonnerie,André Masson,"EUR 10,080","EUR 8,000 - 12,000",N/A,42 x 35.5 cm,Unknown,1896-1987,Abstract Expressionism,Abstract
Pujols per Dalí,Salvador Dalí,,"EUR 12,000 - 18,000",N/A,78 x 56.7 cm,Unknown,1904-1989,Abstract Expressionism,Abstract
El Emperador Trajano,Salvador Dalí,,"EUR 5,000 - 7,000",N/A,30.1 x 41.3 cm,Unknown,1904-1989,Abstract Expressionism,Abstract
Inspiration entering by the five fingers of the hand,Salvador Dalí,"EUR 119,700","EUR 40,000 - 60,000",N/A,27.8 x 36.2 cm,Unknown,1904-1989,Abstract Expressionism,Abstract
Têtes de Diego,Alberto Giacometti,"EUR 47,880","EUR 20,000 - 30,000",N/A,44.9 x 32 cm,Unknown,1901-1966,Abstract Expressionism,Abstract
Étude pour les Présages,André Masson,"EUR 2,772","EUR 8,000 - 12,000",N/A,48 x 62.8 cm,Unknown,1896-1987,Abstract Expressionism,Abstract
Sans titre,Pablo Picasso,"EUR 32,760","EUR 15,000 - 20,000",N/A,16.5 x 16.4 cm,Spain,1881-1973,Abstract Expressionism,Abstract
Visage de femme (Françoise),Pablo Picasso,"EUR 35,280","EUR 18,000 - 25,000",N/A,32.4 x 25 cm,Spain,1881-1973,Abstract Expressionism,Abstract
The Nativity,MARTIN SCHONGAUER,"USD 138,600","USD 100,000 - 150,000",N/A,165 x 165 mm,Germany,1445-1491,Engraving,Engraving
The Holy Family with the three Hares,ALBRECHT DÜRER,,"USD 70,000 - 100,000",N/A,389 x 281 mm,Germany,1471-1528,Engraving,Engraving
Saint Eustace,ALBRECHT DÜRER,"USD 453,600","USD 200,000 - 300,000",N/A,358 x 262 mm,Germany,1471-1528,Engraving,Engraving
Melencolia I,ALBRECHT DÜRER,"USD 882,000","USD 300,000 - 500,000",N/A,240 x 189 mm,Germany,1471-1528,Engraving,Engraving
Abraham and Isaac,LUCAS VAN LEYDEN,"USD 81,900","USD 30,000 - 50,000",N/A,287 x 214 mm,Netherlands,1494-1533,Engraving,Engraving
The Dance of Saint Mary Magdalene,LUCAS VAN LEYDEN,"USD 40,320","USD 30,000 - 50,000",N/A,288 x 395 mm,Netherlands,1494-1533,Engraving,Engraving
River Landscape with Rocks at Left and Right,AUGUSTIN HIRSCHVOGEL,"USD 31,500","USD 25,000 - 35,000",N/A,8 x 7 in,Germany,1503-1553,Engraving,Engraving
"Mountainous Landscape, in the Middle a River and a Citadel",HANNS LAUTENSACK,"USD 10,080","USD 8,000 - 12,000",N/A,170 x 112 mm,Germany,1520-1566,Engraving,Engraving
